,Description,Category,SubCategory1,SubCategory2,SubCategory3
0,There are 2 Christmas trees next to the orac.,Waste,Pollution New Year,Christmas trees,
1,"construction and demolition waste on the street, also a statue and a bench. Please delete everything there is. ",Waste,Bulky waste,Construction and demolition waste,
2,Customer reports construction and demolition waste on public roads. Was put by neighbors with their bulky waste.,Waste,Bulky waste,Construction and demolition waste,
3,"Iron ramps were used for the renovation to facilitate access to the various plots. After the renovation, these driveway plates became redundant and they were squashed against a wall in the Boterstraat with the idea that rust will disappear by itself. -see Appendix-. Before then, that iron must be removed. Source: attachment in email 29-08-2020 3:07.",Waste,Bulky waste,Construction and demolition waste,
4,Weight plate left behind from traffic bollard after work in park.,Waste,Bulky waste,Construction and demolition waste,
5,"Mrs. previously reported on 11 June (see MOR2114079) of loose stones on public roads. She has reported this as an 'unsafe traffic situation', since a window has already been tapped with one of the stones. Could these be removed urgently? See also, for reference, MOR2101206 and MOR2102981, dated June 1 and June 2.",Waste,Bulky waste,Construction and demolition waste,
6,Paint has been thrown on the street. Can this be cleaned?,Waste,Chemical waste,Paint on the street,
7,huge paint trail on the road,Waste,Chemical waste,Paint on the street,
8,Doo + J11: J39r unknown resident thrown huge amount of paint on the floor. Paint stain of 4m2 on the ground.,Waste,Chemical waste,Paint on the street,
9,"Mrs. indicates that there is paint on the street. it's Latex and it's all over the street now. It is still wet, please take action asap.",Waste,Chemical waste,Paint on the street,
10,Paint can fallen on the street. Everyone cycles through it and is spread out in the area.,Waste,Chemical waste,Paint on the street,
11,Bucket of paint broke in the street. Can this be cleaned up? See picture,Waste,Chemical waste,Paint on the street,
12,"several spots with paint all over the street because paint bus is broken, all paint is on the pavement ",Waste,Chemical waste,Paint on the street,
13,The Kraijenhoffstraat nowadays has black & white on the sidewalk. SEE PICTURE,Waste,Chemical waste,Paint on the street,
14,Paint on the sidewalk at the Expedition,Waste,Chemical waste,Paint on the street,
15,Paint on the street,Waste,Chemical waste,Paint on the street,
16,A paint pot has fallen over in the street and everyone is walking through it and it enters the store ,Waste,Chemical waste,Paint on the street,
17,3 buckets of paint,Waste,Chemical waste,Paint on the street,
18,Paint on the street. Please take away,Waste,Chemical waste,Paint on the street,
19,Paint on sidewalk. Please take away,Waste,Chemical waste,Paint on the street,
