,Description,Category,SubCategory1,SubCategory2,SubCategory3
0,The orac has two Christmas trees next to it.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
1,There are two Christmas trees near the orac.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
2,Two Christmas trees are next to the orac.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
3,There is a statue and a bench on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
4,"There is a statue, a bench, and construction and demolition waste on the street.",Waste,Bulky waste,Bulky waste,Bulky waste
5,There is construction and demolition waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
6,Customers report construction and demolition waste on public roads.,Waste,Bulky waste,Bulky waste,Bulky waste
7,Customer reported construction and demolition waste on public roads.,Waste,Bulky waste,Bulky waste,Bulky waste
8,Customer reports construction and demolition waste.,Waste,Bulky waste,Bulky waste,Bulky waste
9,The customer reported construction and demolition waste on public roads.,Waste,Bulky waste,Bulky waste,Bulky waste
10,"After the renovation, the driveway plates became redundant and they were destroyed against a wall.",Waste,Bulky waste,Bulky waste,Bulky waste
11,The weight plate was left behind after work.,Waste,Bulky waste,Bulky waste,Bulky waste
12,The weight plate was left in the park.,Waste,Bulky waste,Bulky waste,Bulky waste
13,"A window has already been tapped with one of the stones, so could these be removed quickly?",Waste,Bulky waste,Bulky waste,Bulky waste
14,Mrs reported on 11 June that there were loose stones on public roads.,Waste,Bulky waste,Bulky waste,Bulky waste
15,On 11 June she reported that there were loose stones on public roads and that a window had been tapped with one of them.,Waste,Bulky waste,Bulky waste,Bulky waste
16,Can this be cleaned?,Waste,Chemical waste,Chemical waste,Chemical waste
17,Can the paint be cleaned?,Waste,Chemical waste,Chemical waste,Chemical waste
18,Can the street be cleaned?,Waste,Chemical waste,Chemical waste,Chemical waste
19,Can the paint on the street be cleaned?,Waste,Chemical waste,Chemical waste,Chemical waste
20,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
21,There is a paint trail on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
22,A resident threw paint on the floor.,Waste,Chemical waste,Chemical waste,Chemical waste
23,A resident threw a large amount of paint on the floor.,Waste,Chemical waste,Chemical waste,Chemical waste
24,The resident threw paint on the floor.,Waste,Chemical waste,Chemical waste,Chemical waste
25,An unknown resident threw paint on the floor.,Waste,Chemical waste,Chemical waste,Chemical waste
26,It's wet and there is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
27,Mrs says that there is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
28,"There is paint on the street, please take action.",Waste,Chemical waste,Chemical waste,Chemical waste
29,Mrs says that there is paint on the street and that it's Latex.,Waste,Chemical waste,Chemical waste,Chemical waste
